Campaign,Ad group,Keyword,Match type,Impressions,Clicks,Conversions,trans - us_qb001 - 19 - 1582695525771769364,QBSE_MCC_BuyNow_90 Days,QBOLive_MCC_Lead_90Days,trans - us_qb01d - 19 - 1582695525771241388,PSG_MCC_Order_90 Days,trans - us_qb00d - 19 - 1582695525771387916,QBES_MCC_Signup_90Days,trans - us_qb017 - 19 - 1582695525771849587,QBDT_MCC_Order_90 Days,trans - us_qb00- - 19 - 1582695525771704407,trans - us_qb01- - 19 - 1582695525771217054,Calls from ads,trans - us_qb00c - 19 - 1582695525771425165,trans - us_qb00a - 19 - 1582695525771567110,1099_MCC_Purchase_90 Days,trans - us_qb00g - 19 - 1582695525771448247,QBEcosystem_MCC_WWSUIVisit_90 Days,trans - us_qb01a - 19 - 1582695525771226066,trans - us_qb004 - 19 - 1582695525771799558,trans - us_qb00f - 19 - 1582695525771546228,trans - us_qb0 - 19 - 1582695525771833426,QBO_Advanced_MCC_BuyNow_90Days,QBSE_MCC_Sub_90 Days,trans - us_po00 - 19 - 1582695525771917573,trans - us_qb01k - 19 - 1582695525771972335,ProAdvisor_MCC_Signup_90 Days,QBOA_MCC_Signup_90 Days,trans - us_qb018 - 19 - 1582695525771856716,trans - us_qb00m - 19 - 1582695525771759376,QBSE_MCC_Signup_90 Days,QBO_MCC_Login_90Days,QBOLive_MCC_ScheduleConsult_90Days,trans - us_qb00r - 19 - 1582695525771539487,PayrollFirst_MCC_BuyNow_90 Days,trans - us_qb00q - 19 - 1582695525771416667,trans - us_pa0 - 19 - 1582695525771179557,trans - us_qb00i - 19 - 1582695525771365531,QBO_MCC_Signup_90 Days,QBO_MCC_BuyNow_90Days,trans - us_pr0 - 19 - 1582695525771209368,trans - us_ps0 - 19 - 1582695525771886990,QuickBooks Accounting+Invoice (Android) installs,trans - us_qb019 - 19 - 1582695525771864364,trans - us_qb01h - 19 - 1582695525771896332,All conv.,Cost,Total conv. value,CTR,Conv. rate,Avg. CPC,Avg. position,Top of page CPC,First page CPC,Quality score,Ad relevance,Expected clickthrough rate,Landing page experience,Labels,Campaign state,Ad group state,Keyword state,Campaign ID,Ad group ID,Keyword ID
QB_US_GGL_Brand_Other_Exact_Search_Desktop_MMMarch20,Consideration_Versions,different versions of quickbooks,Exact,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.47,0.0,0.40909999999999996,0.0,0.83, --,0.19,0.18,9,Average,Above average,Above average, --,enabled,enabled,enabled,9648710399,102131349307,297230355979
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop_MMMarch20,SKU_Pro Desktop 2020,quickbooks desktop pro 2020 free trial,Exact,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.52,0.0,0.1818,0.0,3.13, --,0.55,0.29,8,Below average,Above average,Above average, --,enabled,enabled,enabled,9653421075,97487257805,838606419827
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop,Ancillary_Computer - PC,quickbooks for windows 10,Exact,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.2727,0.0,2.0, --,0.97,0.58,6,Below average,Average,Above average, --,enabled,enabled,enabled,1479750863,58838807898,362385251717
QB_US_GGL_Brand_Purchase_Exact_Search_Mobile,Fee,quickbooks fee,Exact,22.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.08,67.0,0.1364,0.3333,1.026667, --,0.66,0.66,7,Average,Average,Above average, --,enabled,enabled,enabled,8518794362,89370601187,362385247117
QB_US_GGL_Brand_Ancillary_Exact_Search_Mobile_MMMarch20,Invoices_Create,create invoices in quickbooks,Exact,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.15,0.0,0.1818,0.0,2.2875, --,0.43,0.43,7,Average,Average,Above average, --,enabled,enabled,enabled,9656892385,99607378752,84557059113
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop_MMMarch20,Ancillary_Computer,quickbooks for laptop,Exact,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.69,0.0,0.1364,0.0,6.896667, --,0.72,0.54,9,Average,Above average,Above average, --,enabled,enabled,enabled,9653421075,97487255405,362385249117
QB_US_GGL_Brand_Purchase_Exact_Search_Mobile_MMMarch20,Price,quickbooks prices,Exact,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.46,0.0,0.2727,0.0,3.076667, --,0.28,0.25,8,Below average,Above average,Above average, --,enabled,enabled,enabled,9653558793,102266982954,362385273557
QB_US_GGL_Brand_Ancillary_Exact_Search_Mobile,SKU_Pro - 2020,quickbooks pro 2020,Exact,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0455,0.0,0.05, --,0.2,0.03,8,Below average,Above average,Above average, --,enabled,enabled,enabled,8517736047,83756497422,352537579838
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop,SKU_Pro Desktop 2020,quickbooks desktop pro plus 2020,Exact,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0455,0.0,3.8, --,0.63,0.52,5,Below average,Below average,Above average, --,enabled,enabled,enabled,1479750863,67053473479,838254864469
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop,Retention_Update,update quickbooks desktop,Exact,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, --,3.18,3.18,5,Below average,Below average,Above average, --,enabled,enabled,enabled,1479750863,90204116767,631745637040
